scientificName,clean_single_species_events,selected,epbc_listed,epbc_category,epbc_match_status,epbc_source_scientific_name,epbc_source_current_name
Mixophyes balbus,0,FALSE,TRUE,Vulnerable,exact_listed_name,Mixophyes balbus,NA
Mixophyes fleayi,0,FALSE,TRUE,Endangered,exact_listed_name,Mixophyes fleayi,NA
Mixophyes iteratus,0,FALSE,TRUE,Vulnerable,exact_listed_name,Mixophyes iteratus,NA
Neobatrachus fulvus,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Notaden weigeli,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Philoria knowlesi,0,FALSE,TRUE,Endangered,exact_listed_name,Philoria knowlesi,NA
Philoria kundagungan,0,FALSE,TRUE,Endangered,exact_listed_name,Philoria kundagungan,NA
Philoria loveridgei,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Philoria pughi,0,FALSE,TRUE,Endangered,exact_listed_name,Philoria pughi,NA
Philoria richmondensis,0,FALSE,TRUE,Endangered,exact_listed_name,Philoria richmondensis,NA
Philoria sphagnicola,0,FALSE,TRUE,Vulnerable,exact_listed_name,Philoria sphagnicola,NA
Pseudophryne bibronii,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Pseudophryne dendyi,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Pseudophryne douglasi,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Pseudophryne major,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Pseudophryne robinsoni,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Spicospina flammocaerulea,0,FALSE,TRUE,Vulnerable,exact_listed_name,Spicospina flammocaerulea,NA
Taudactylus liemi,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia arenicola,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia aspera,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia daviesae,0,FALSE,TRUE,Vulnerable,exact_listed_name,Uperoleia daviesae,NA
Uperoleia glandulosa,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia mahonyi,0,FALSE,TRUE,Endangered,exact_listed_name,Uperoleia mahonyi,NA
Uperoleia martini,0,FALSE,TRUE,Endangered,exact_listed_name,Uperoleia martini,NA
Uperoleia micra,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia minima,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
Uperoleia stridera,0,FALSE,NA,NA,unmatched_to_official_threatened_list,NA,NA
